ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-25-005654	197556					HANCOCK WHITNEY INVESTMENT SERVICES INC.
0001353316-25-000005	198196	0001353316	028-11815	000155551	801-72100	Hound Partners, LLC
0001496201-25-000005	197994	0001496201	028-15863	000312614	802-120694	SPHERA FUNDS MANAGEMENT LTD.
0000899140-25-000688	198031	0001478735	028-14367	000152254	801-71110	TWO SIGMA ADVISERS, LP
0000899140-25-000687	197560	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0000899140-25-000686	197812	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0001353316-25-000004	197725	0001353316	028-11815	000155551	801-72100	Hound Partners, LLC
0000899140-25-000685	197913	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0000899140-25-000684	197694	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0000899140-25-000683	198189	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0000899140-25-000682	197634	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0000899140-25-000681	198176	0001179392	028-10385	000137137	801-70476	TWO SIGMA INVESTMENTS, LP
0001041062-25-000130	197737	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001041062-25-000129	197722	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001041062-25-000128	197762	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001041062-25-000127	197717	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001041062-25-000126	198167	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0000919574-25-003237	197619	0001910874	028-21897	000311807	801-120071	Eschler Asset Management LLP
0001041062-25-000125	197938	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001041062-25-000124	197776	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001136305-25-000009	197543	0001446194	028-13216			SUSQUEHANNA INTERNATIONAL GROUP, LLP
0001737410-25-000002	197794	0001578621	028-16119	000159639		LMR Partners LLP
0000919574-25-003235	197565	0001364412	028-13040	000161041	801-73989	H PARTNERS MANAGEMENT, LLC
0002034035-25-000004	197538	0001578621	028-16119	000159639		LMR Partners LLP
0000919574-25-003233	197900	0001364412	028-13040	000161041	801-73989	H PARTNERS MANAGEMENT, LLC
0000921895-25-001526	197724	0001058811	028-25299			IMMERSION CORP
0000921895-25-001525	197503	0001058811	028-25299			IMMERSION CORP
0002034035-25-000003	197696	0001578621	028-16119	000159639		LMR Partners LLP
0002034035-25-000002	198192	0001578621	028-16119	000159639		LMR Partners LLP
0001041062-25-000121	197977		028-5620			Brandes Investment Partners, L.P.
0001172661-25-002191	197640	0001312908	028-11102	000137842	801-65550	Gates Capital Management, Inc.
0001859606-25-000018	197814		028-21213			Optiver Holding B.V.
0001389932-25-000007	198181	0001389933	028-12327	000129053	801-62559	DAFNA Capital Management LLC
0001041062-25-000119	197774		028-5620			Brandes Investment Partners, L.P.
0000312069-25-000414	197959	0000312069	028-00826			BARCLAYS PLC
0000312069-25-000413	198029	0000312069	028-00826			BARCLAYS PLC
0001859606-25-000017	198061		028-21213			Optiver Holding B.V.
0001907684-25-000004	197993	0001771179	028-21942	000304053		Sagefield Capital LP
0000312069-25-000412	197537	0000312069	028-00826			BARCLAYS PLC
0000892712-25-000069	197902	0001477024	028-13747			Johnson Financial Group, Inc.
0001041062-25-000117	197990		028-5620			Brandes Investment Partners, L.P.
0001172661-25-002187	197500	0001650150	028-18071	000269866	801-100433	Lido Advisors, LLC
0000892712-25-000068	197858	0001477024	028-13747			Johnson Financial Group, Inc.
0000950123-25-005647	198033		028-02682			UBS AM, a distinct business unit of UBS Asset Management Americas LLC
0000950123-25-005646	198194		028-02682			UBS AM, a distinct business unit of UBS Asset Management Americas LLC
0000312069-25-000411	197561	0000312069	028-00826			BARCLAYS PLC
0001172661-25-002183	197730	0001650150	028-18071	000269866	801-100433	Lido Advisors, LLC
0000312069-25-000410	197945	0000312069	028-00826			BARCLAYS PLC
0000895421-25-000406	197906	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000405	198142	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000404	197789	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000403	197693	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000402	197853	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000401	197718	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000400	198024	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000399	198173	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000398	197996	0000895421	028-03432			MORGAN STANLEY
0001902383-25-000003	197786	0001900110	028-21524			DGS Capital Management, LLC
0000895421-25-000397	197998	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000396	197699	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000395	197901	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000394	198056	0000895421	028-03432			MORGAN STANLEY
0000312069-25-000409	197799	0000312069	028-00826			BARCLAYS PLC
0000895421-25-000393	198159	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000392	197940	0000895421	028-03432			MORGAN STANLEY
0000919574-25-003224	197759	0001737348	028-19847	000287719	801-112820	NUCLEO CAPITAL LTDA.
0000895421-25-000391	197555	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000390	197695	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000389	197526	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000388	197773	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000387	197494	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000386	198004	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000385	197921	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000384	197750	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000383	197721	0000895421	028-03432			MORGAN STANLEY
0000921895-25-001521	197885	0001559771	028-16004	000161251	801-77057	Engaged Capital LLC
0001776936-25-000004	197960	0001632813	028-16985			CMT Capital Markets Trading GmbH
0000921895-25-001520	197880	0001559771	028-16004	000161251	801-77057	Engaged Capital LLC
0001512948-25-000002	197733	0001105838	028-10843	000732905		ROBOTTI ROBERT
0000895421-25-000381	197815	0002026079	028-24289			Morgan Stanley Institutional Investment Advisors LLC
0000945621-25-000504	197581	0001935000	028-22581	000169820	801-10701	TRANSATLANTIQUE PRIVATE WEALTH LLC
0000945621-25-000504	197580	0002052594	028-25159			BLI - Banque de Luxembourg Investments
0000945621-25-000504	197579	0002055344	028-25248			Banque de Luxembourg S.A.
0000945621-25-000504	197578	0002056095	028-25250			Banque Transatlantique SA
0000945621-25-000504	197577	0002056088	028-25236			Groupe la Francaise
0000945621-25-000504	197576	0001274419	028-25196			CREDIT INDUSTRIEL ET COMMERCIAL
0000945621-25-000504	197575	0002056266	028-25255			Groupe des Assurances du Credit Mutuel
0001172661-25-002175	197502	0001600344	028-22181	000136591	801-64978	Lighthouse Investment Partners, LLC
0001172661-25-002174	197790	0001600344	028-22181	000136591	801-64978	Lighthouse Investment Partners, LLC
0000945621-25-000502	197539	0002056095	028-25250			Banque Transatlantique SA
0001772937-25-000008	197525	0001772937	028-19460			Tolleson Wealth Management, Inc.
0001362556-25-000007	197887		028-05151			First Commonwealth Financial Corp /PA/
0000945621-25-000500	197729	0002056095	028-25250			Banque Transatlantique SA
0000950123-25-005617	197837		028-03687	000106093	801-15180	Polen Capital Management LLC
0000950123-25-005617	197838		028-03791	000106847	801-50838	Pzena Investment Management, LLC
0000950123-25-005617	197839		028-11487	000134918	801-64175	River Road Asset Management, LLC
0000950123-25-005617	197840		028-05655	000108074	801-57432	RiverBridge Partners LLC
0000950123-25-005617	197841			000107367	801-54142	ROBECO INSTITUTIONAL ASSET MANAGEMENT US INC
0000950123-25-005617	197842		028-03381	000106505	801-47232	Segall Bryant & Hamill
0000950123-25-005617	197843		028-10472	000118333	801-61004	Silvercrest Asset Management Group LLC
0000950123-25-005617	197844		028-24840	000330060	801-129723	Skerryvore Asset Management
0000950123-25-005617	197845		028-00115	000105496	801-856	T. Rowe Price Associates, Inc.
0000950123-25-005617	197846		028-14794	000174314	801-89169	Veritas Asset Management LLP
0000950123-25-005617	197847		028-06354	000106189	801-46878 	Victory Capital Management Inc.
0000950123-25-005617	197848			000146990	801-69413	WESTFIELD CAPITAL MANAGEMENT COMPANY
0000950123-25-005617	197849		028-17022	000173961	801-80640	William Blair Investment Management, LLC
0000950123-25-005617	197816		028-05990	000106609	801-28078 	Acadian Asset Management LLC
0000950123-25-005617	197817		028-01091	000105778	801-8174	American Century Investment Management Inc.
0000950123-25-005617	197818		028-10005	000111298	801-56633	Arrowstreet Capital, Limited Partnership
0000950123-25-005617	197819		028-04395	000110296	801-21051	Baillie Gifford Overseas Limited
0000950123-25-005617	197820		028-01006	000105519	801-31237	Barrow Hanley Mewhinney & Strauss LLC
0000950123-25-005617	197821			000132474	801-63424	Champlain Investment Partners
0000950123-25-005617	197822		028-10029	000111750	801-60133	Conestoga Capital Advisors, LLC
0000950123-25-005617	197823		028-12126	000113360	801-17695	Crossmark Global Investments, Inc. 
0000950123-25-005617	197824		028-04988	000106422	801-48883	Eagle Capital Management, LLC
0000950123-25-005617	197825		028-04634	000106920	801-32888	Eastern Shore Capital Management
0000950123-25-005617	197826		028-14862	000121942	801-61559	Granite Investment Partners LLC
0000950123-25-005617	197827		028-04145	000121942	801-61559	GW&K Investment Management, LLC
0000950123-25-005617	197828		028-10068	000114649	801-60512	Hotchkis & Wiley
0000950123-25-005617	197829		028-03059	000107022	801-28257	Jacobs Levy Equity Management, Inc.
0000950123-25-005617	197830		028-00074	000107959	801-5608 	Jennison Associates LLC
0000950123-25-005617	197831		028-03495	000105281	801-32726	Jensen Investment Management Inc.
0000950123-25-005617	197832		028-00398	000105377	801-170	Loomis Sayles & Co LP
0000950123-25-005617	197833		028-06580	000109918	801-47689	LSV Asset Management
0000950123-25-005617	197834		028-04968	000110045	801-17352	Massachusetts Financial Services Company
0000950123-25-005617	197835			000158310	801-73635	NINETY ONE UK LIMITED
0000950123-25-005617	197836		028-04558	000114310	801-60485	Parametric Portfolio Associates LLC
0000945621-25-000498	198060	0001935000	028-22581	000169820	801-10701	TRANSATLANTIQUE PRIVATE WEALTH LLC
0001772937-25-000007	197768	0001772937	028-19460			Tolleson Wealth Management, Inc.
0001172661-25-002173	197763	0001846644	028-21035	000161527		WestBridge Capital Management, LLC
0000919574-25-003215	197864	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0001172661-25-002172	197742	0001846644	028-21035	000161527		WestBridge Capital Management, LLC
0001172661-25-002171	197568	0001846644	028-21035	000161527		WestBridge Capital Management, LLC
0000919574-25-003213	197791	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0001172661-25-002169	198156	0001846644	028-21035	000161527		WestBridge Capital Management, LLC
0000919574-25-003212	197582	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0001172661-25-002168	197775	0001846644	028-21035	000161527		WestBridge Capital Management, LLC
0001398344-25-009589	197933		028-10120	000111883	801-55543	AQR Capital Management
0001398344-25-009589	197934		028-04766	000106244	801-46796	Monarch Capital Management
0001398344-25-009589	197932		028-02634	000109876	801-60014	Aristotle Capital Management
0001398344-25-009589	197930		028-16000	000168496	801-78977	Select Equity
0001398344-25-009589	197931		028-10031	000107660	801-50387	Woodley Farra Manion
0001398344-25-009589	197929		028-04558	000114310	801-60485	Parametric
0000919574-25-003211	197546	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0001772937-25-000006	197747	0001772937	028-19460			Tolleson Wealth Management, Inc.
0000919574-25-003210	197617	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000919574-25-003209	197610	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0000070858-25-000237	197958	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000070858-25-000236	198001	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000919574-25-003208	198006	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0000919574-25-003207	197978	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000070858-25-000235	198185	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000070858-25-000234	198172	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000070858-25-000233	197530	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000919574-25-003206	197857	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0001140361-25-019214	198171	0001080117	028-04321			Heitman Real Estate Securities LLC
0000905148-25-001708	198141	0001911838	028-22744			Post Oak Energy Holdings, LLC
0000070858-25-000232	197955	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0001790787-25-000008	197877	0001822973	028-21340			Oaktree Fund Advisors, LLC
0001790787-25-000008	197876	0000949509	028-05050			OAKTREE CAPITAL MANAGEMENT LP
0000070858-25-000231	198190	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000905148-25-001705	198108	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000919574-25-003202	197867	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000905148-25-001704	197925	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000905148-25-001703	197584	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000070858-25-000230	197757	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000905148-25-001702	198057	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000905148-25-001701	197874	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000919574-25-003199	197779	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000905148-25-001699	197856	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000912282-25-000536	197638	0001456670	028-13463			DnB Asset Management AS
0000905148-25-001698	198161	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-001697	197850	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0001140361-25-019210	198022	0001080117	028-04321			Heitman Real Estate Securities LLC
0000905148-25-001696	197985	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-001695	197527	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-001694	197709	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-001693	197989	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-001692	197587	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000919574-25-003194	198030	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0001442181-25-000008	197501	0001648711	028-16981			Baird Financial Group, Inc.
0001892688-25-000119	197957	0001910456	028-22151	000310301	801-127585	Lynx1 Capital Management LP
0001172661-25-002165	197711	0001679688	028-19781			DigitalBridge Group, Inc.
0001172661-25-002164	197914	0001679688	028-19781			DigitalBridge Group, Inc.
0001172661-25-002163	197736	0001679688	028-19781			DigitalBridge Group, Inc.
0001172661-25-002161	197601	0001679688	028-19781			DigitalBridge Group, Inc.
0000919574-25-003191	197504	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0001442181-25-000006	198104	0001648711	028-16981			Baird Financial Group, Inc.
0000919574-25-003190	197881	0001963918		000323259		Pilgrim Global Advisors LLC
0000950142-25-001397	197939	0001670185	028-19403	000282125	801-107234	HPS Investment Partners, LLC
0000905148-25-001690	197735	0001163653	028-10594			NOMURA HOLDINGS INC
0000905148-25-001689	197488	0001163653	028-10594			NOMURA HOLDINGS INC
0000919574-25-003188	197878	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000905148-25-001688	197523	0001163653	028-10594			NOMURA HOLDINGS INC
0000905148-25-001687	197474	0001163653	028-10594			NOMURA HOLDINGS INC
0001442181-25-000004	197777	0001648711	028-16981			Baird Financial Group, Inc.
0000919574-25-003187	197965	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000905148-25-001685	198034	0001993962	028-25222			Anchor @ 65 Pte. Ltd.
0000905148-25-001684	197630	0001993962	028-25222			Anchor @ 65 Pte. Ltd.
0000919574-25-003184	198180	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000950123-25-005611	197923		028-06663	000107913	801-56729	Sculptor Capital LP
0000919574-25-003181	197592	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000921895-25-001517	198053	0001939480	028-22629			GCM Grosvenor Holdings, LLC
0000921895-25-001516	197635	0001939480	028-22629			GCM Grosvenor Holdings, LLC
0000950123-25-005606	198175			000334726		Longaeva Partners L.P.
0001104884-25-000003	198182	0001104883				SIRIOS CAPITAL MANAGEMENT L P
